actions_taken,booking_id,created_date,description,incident_datetime,incident_id,incident_type,involved_inmates,involved_staff,location,person_id,referral_to_outside_agency
"[""DISCIPLINARY"", ""EVIDENCE_SEIZED"", ""ISOLATION""]",bd748b02-090d-4d1e-9f20-88bf11c38a96,2025-09-15 10:43:46,Altercation between inmates; separated by staff.,2025-09-11 13:09:54,JINC-d4df9f2b-4482-4c40-b260-c6033ac0a6ca,CONTRABAND,"[""a9f3040c-1520-49ea-9ec1-ddbaf5aba724"", ""79c1f32a-9080-40b5-88bb-f9994b18c69b""]","[""Andrew Osborn"", ""Betty Ballard"", ""Nicholas Flores""]",YARD,P-977AB56EE7,
"[""EVIDENCE_SEIZED"", ""ISOLATION""]",5e8383da-5d6f-4bd2-81e6-4b148ea7dd0e,2025-09-15 10:43:46,Contraband discovered during cell search.,2025-08-25 15:08:09,JINC-0861739a-f0f0-46d9-ab38-9437c376a940,ASSAULT,[],"[""Erica Landry""]",MEDICAL,P-9D1126F41D,KCSO
"[""DISCIPLINARY"", ""ISOLATION""]",75210b69-5221-42a4-984c-da0b9dfb2547,2025-09-15 10:43:46,Altercation between inmates; separated by staff.,2025-06-14 12:29:14,JINC-fd36cf1a-29be-4ebf-b43d-01de64af4484,MEDICAL,"[""53232b46-a09c-49b7-9321-405adc53d6a5""]","[""Patrick Martinez"", ""Kristina Shepherd""]",YARD,P-4D5A8FADE7,
"[""REPORT_FILED"", ""ISOLATION"", ""MEDICAL_EVAL""]",42577a59-7c0f-42c8-adae-248778f74245,2025-09-15 10:43:46,Property damage to dayroom table recorded.,2025-03-22 00:02:28,JINC-72e73c94-64e3-4d3c-95f5-49154de99ccd,ASSAULT,"[""7e78c4b4-dba5-4d55-8893-272b066e3454"", ""bfadc21f-9040-4e62-9cc4-3ee7614a9bf9"", ""01c58f4e-cdfe-442b-b633-fb6c2e26962d""]","[""Miranda Miller"", ""James Hall""]",DAYROOM,P-6C395A8EE4,KCSO
"[""MEDICAL_EVAL""]",ad47b4a8-fa53-42a7-8d8e-84d138e718d7,2025-09-15 10:43:46,Contraband discovered during cell search.,2025-05-27 07:50:02,JINC-4f0a8757-f503-4b09-b530-df80d48d7e67,MEDICAL,"[""84f07e4d-7033-4f98-966b-32396453cf68"", ""9aca87a4-cb0a-454a-8f4f-466a82cb753d"", ""3189965d-ad70-4d8b-99fb-2a017a419bf5""]","[""David Nguyen"", ""Joshua Hill""]",MEDICAL,P-7108CAAA76,KCSO
"[""ISOLATION"", ""REPORT_FILED""]",94e7dd44-4bb2-4cb2-b8b7-b680b7d61e54,2025-09-15 10:43:46,Inmate referred for medical evaluation.,2025-07-21 21:59:21,JINC-16ed50c2-563f-4d03-a009-a49fefe59821,SELF_HARM,"[""b12fdf07-f643-41de-bbab-d044b5eb34f3""]","[""Jill Terry"", ""Tiffany Clay"", ""Jerome Richardson""]",POD A,P-7F9DA380CA,
"[""EVIDENCE_SEIZED"", ""REPORT_FILED"", ""ISOLATION""]",dbf86ffd-0764-4f24-9d44-c05ed69ae6ee,2025-09-15 10:43:46,Altercation between inmates; separated by staff.,2025-04-07 22:52:28,JINC-699092f4-12c6-4ecf-9211-11fe249fe67a,SELF_HARM,"[""d5a0b57b-919e-4ec5-a8a6-c09574598647"", ""1d527cc4-4269-470f-b8e5-8563424d8535""]","[""Danielle Reyes"", ""Duane Jones""]",YARD,P-0DAD151E80,KCSO
"[""MEDICAL_EVAL""]",796ad4ae-e7fb-40f8-86fa-a08aa506ca36,2025-09-15 10:43:46,Property damage to dayroom table recorded.,2025-08-20 12:55:01,JINC-ea1ecdcb-51ff-40d1-a2be-0c2db0d83064,PROPERTY_DAMAGE,"[""fc1000b2-b7be-493d-80c1-62a3789283a4""]","[""Deborah Roberts"", ""Patricia Smith""]",POD B,P-B2611CE7ED,KCSO
"[""EVIDENCE_SEIZED"", ""ISOLATION"", ""DISCIPLINARY""]",3f5b6dba-d717-414f-be56-2abe7da73af0,2025-09-15 10:43:46,Inmate referred for medical evaluation.,2025-07-20 23:08:29,JINC-58709f5e-ddd3-470a-932d-1823a511a16a,MEDICAL,"[""d122be40-e6df-434b-9e33-7d3dfba18565"", ""4efe75cc-8cce-4468-88be-15ce7c9a8801"", ""b61cb9a2-3fea-489d-bf8a-a5a8d81e0f69""]","[""Ashley Harmon"", ""Jennifer Mitchell"", ""Christina Anderson""]",YARD,P-75A60F0E47,
"[""EVIDENCE_SEIZED""]",85b5528c-537b-480b-b19b-dfdae961b91f,2025-09-15 10:43:46,Contraband discovered during cell search.,2025-06-13 02:25:50,JINC-8f9e87c6-d45f-4f7a-b5da-57d4782fc5bf,SELF_HARM,"[""1e33dbbb-ac4c-424e-820a-73bd54246f5d"", ""61e7e155-1df7-4f49-b9eb-b7d6fdd37c82"", ""d5acb509-1ebd-4ddb-84b0-ab66110d2715""]","[""Peter Huber"", ""Brooke Kim"", ""Suzanne Brady""]",MEDICAL,P-14FA3AFF84,KCSO
"[""DISCIPLINARY"", ""REPORT_FILED""]",b4d73959-9b32-41b1-b8bc-6523c8d99dc4,2025-09-15 10:43:46,Contraband discovered during cell search.,2025-04-17 09:31:22,JINC-8f316595-be58-42af-8945-e4b2c55b9358,ASSAULT,"[""3e4e0309-c3c2-4156-9938-45249cf428fb"", ""36464f59-6b73-468d-a8e5-c79f7ada96ec"", ""98e14af4-b565-46b1-bce6-390cd04df73f""]","[""Christine Bridges"", ""Jeffrey Johnson"", ""Paige Moore""]",POD A,P-E4F3691494,
"[""EVIDENCE_SEIZED""]",e8f88b85-9df2-4017-9541-b77d346dfc8a,2025-09-15 10:43:46,Property damage to dayroom table recorded.,2025-03-30 00:51:36,JINC-09ac435e-c096-4480-9ebf-a5dec6e60def,SELF_HARM,"[""4c66a780-2653-48fd-8c16-0894ea4a95b9"", ""b01c8998-e3b1-4f8c-b6de-e45af189ebf9"", ""55eb1839-7fe7-4c24-9449-b570021efb74""]","[""Monica Tran""]",POD B,P-68B4636A8D,
"[""MEDICAL_EVAL"", ""REPORT_FILED"", ""ISOLATION""]",a7bb9031-bd0f-402d-9b25-0c948acc59c7,2025-09-15 10:43:46,Inmate referred for medical evaluation.,2025-07-06 03:19:23,JINC-eda9e363-74aa-45c4-83ea-4b2fcf29e920,SELF_HARM,[],"[""Lucas Thomas""]",MEDICAL,P-E620925CA3,PROSECUTOR
"[""MEDICAL_EVAL"", ""REPORT_FILED"", ""EVIDENCE_SEIZED""]",a22d7568-5f15-407b-bdf6-34d5bd143ca7,2025-09-15 10:43:46,Contraband discovered during cell search.,2025-09-12 06:15:07,JINC-0db698ac-b72b-44bd-b3f2-137bd9b3b5ee,CONTRABAND,"[""02dc3c76-285a-4a69-a3e4-c209e5507e59"", ""46c720c4-5f68-42aa-bfc3-a98062e51580""]","[""Kaitlin Thompson"", ""Laurie Booker"", ""Linda Garcia""]",YARD,P-F0CF51CF04,
"[""DISCIPLINARY"", ""ISOLATION"", ""MEDICAL_EVAL""]",2e4babf6-fe09-432f-9f6f-e74fcb55ab8c,2025-09-15 10:43:46,Inmate referred for medical evaluation.,2025-08-01 15:20:56,JINC-59b5d0cf-d049-48be-91f8-98155731d666,PROPERTY_DAMAGE,[],"[""Gabrielle Rivas""]",CELL 2,P-7CA6A00B5A,PROSECUTOR
"[""ISOLATION""]",049d7ab4-bc2b-45f9-ae0d-2fe038bac9c4,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-09-03 02:53:42,JINC-a63a028d-f6b6-4cfa-985e-6b7ee0d0dc92,PROPERTY_DAMAGE,[],"[""Thomas Parker"", ""Tiffany Copeland""]",MEDICAL,P-688DE3AA6F,KCSO
"[""REPORT_FILED"", ""MEDICAL_EVAL"", ""EVIDENCE_SEIZED""]",cb09b058-1823-424d-9eff-f4f67162eff6,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-06-20 19:06:15,JINC-f7738d85-ec03-4033-9cce-b4b8174cf291,PROPERTY_DAMAGE,"[""c822bab1-a7a2-457a-a6ea-bc3007852a7d"", ""3942f212-2a6e-480b-b0f3-0fcd24e43f4c""]","[""Jonathan Moore"", ""Jeanette Tapia"", ""Kevin Garcia""]",YARD,P-E3BCC72D5A,PROSECUTOR
"[""MEDICAL_EVAL"", ""ISOLATION"", ""DISCIPLINARY""]",b2bd38ac-ae6e-4267-b074-9c56abe79d2b,2025-09-15 10:43:47,Property damage to dayroom table recorded.,2025-08-20 21:51:36,JINC-3a6bb465-975e-4558-8243-37d54bb29975,MEDICAL,"[""49844569-fb05-4322-8732-1ff95f1ba44d"", ""6311b6f6-bcdf-4945-80c6-3d25d0513d6e"", ""c13f6247-6bc5-4333-a211-7ae5f9e5b1b8""]","[""Connor Murphy"", ""Dennis Webster"", ""Brandy Thompson""]",CELL 2,P-25A1AB5AD3,
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",5bf1746a-7429-41a1-8eae-8f52c5537052,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-05-12 22:59:48,JINC-bd022603-faed-41cb-b686-4344ef9b8551,ASSAULT,"[""d42804a3-97fa-4f1c-b002-14da87916891"", ""2fd28055-671d-4628-9d4b-7952a5d7ab80""]","[""Jacob Rodriguez""]",POD B,P-64C77672B4,
"[""DISCIPLINARY"", ""EVIDENCE_SEIZED"", ""ISOLATION""]",d2cedc05-e180-4899-9cd5-934af5eb62ed,2025-09-15 10:43:47,Inmate referred for medical evaluation.,2025-04-13 21:25:56,JINC-92fcadd7-07af-4b19-87e2-234f5be224b4,ASSAULT,"[""3bd87b22-9c80-41c5-84a5-78206ae97714""]","[""Shawn Barker"", ""Richard Miller"", ""Anthony Jones""]",POD A,P-0C5794F74E,PROSECUTOR
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""ISOLATION""]",96e287f9-86b1-4231-9667-629db7104621,2025-09-15 10:43:47,Inmate referred for medical evaluation.,2025-03-31 04:16:23,JINC-38b3895d-f83a-4579-aa86-13fee91d8a47,ASSAULT,"[""0ad1f467-1fae-4c82-ad8c-ae6ef27afa15"", ""67f7d725-79be-4c8a-bafd-ce0d27a70284"", ""fde74df4-347f-4241-8456-707cee8ab0de""]","[""Jason Brooks"", ""Katherine Rogers"", ""Kathleen Schmidt""]",POD A,P-DAC93CFE90,
"[""ISOLATION""]",19decc29-12b5-41e6-b17a-2792f4773f13,2025-09-15 10:43:47,Property damage to dayroom table recorded.,2025-08-15 16:23:27,JINC-f369bb61-68f4-4db0-99df-6aa69e969f5e,PROPERTY_DAMAGE,"[""0feb76d9-07ed-456d-baef-7bc2cc374502""]","[""Karen Thomas""]",CELL 2,P-D8982C0534,PROSECUTOR
"[""REPORT_FILED""]",1b877dfb-b562-4075-aa67-d7054f17f9bc,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-09-07 08:29:54,JINC-4a6629c8-09e6-4288-9b98-838bfbbabf17,CONTRABAND,"[""1cf555e9-d516-4fd6-bf05-86ae96840073"", ""66f68d1a-1c79-4953-af4c-c198f60c8ae2""]","[""Mark Haynes""]",MEDICAL,P-8F8F46B4F0,
"[""DISCIPLINARY"", ""REPORT_FILED"", ""EVIDENCE_SEIZED""]",0cab3447-4e66-42e3-a0c9-a65c6b7795c6,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-07-31 08:40:26,JINC-cb5f4dd7-fc3a-4875-bd1f-8ce30eb1fff1,MEDICAL,"[""22debdd1-9990-4833-9056-ad82023e36be""]","[""Sandra Flores"", ""Christopher Lee""]",CELL 2,P-EB395C5446,PROSECUTOR
"[""EVIDENCE_SEIZED"", ""ISOLATION""]",036352d1-b446-471c-9bbc-20c5da129f96,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-05-23 01:07:32,JINC-17704abb-2820-4241-b9b4-4e6075bd8b06,ASSAULT,"[""3b73a057-1a66-4739-a437-f9c9cb6d7c01"", ""1021e1ac-1169-4558-9a80-8b92d2e96774""]","[""Jeremy Newman"", ""Bryan Daniels""]",YARD,P-DC89CBFAE0,
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""REPORT_FILED""]",600d93ab-b09c-4370-a7df-7e0531c7a6dc,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-08-22 03:18:57,JINC-70c5b3f5-e29f-47bc-a137-be9c82b809dc,SELF_HARM,"[""57babb6c-9559-49f7-a646-a134cfacbfc7"", ""cb685c52-a56b-432d-98f5-132768d02645""]","[""Gary Hill"", ""Jennifer Washington"", ""Lori Becker""]",POD B,P-713F9435E5,KCSO
"[""ISOLATION"", ""EVIDENCE_SEIZED"", ""REPORT_FILED""]",0dcb4897-8092-4695-bf68-26951315bd5e,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-06-24 09:31:36,JINC-3d3cd35e-a264-4485-be98-f8efcfa46d57,ASSAULT,"[""8d2af2dd-2010-47ca-b051-dc2a006eea80"", ""76682551-7ce2-4ede-a28c-ba1e09edddbb"", ""e068f5b8-cda0-4283-bec0-e35c3c5a0179""]","[""Craig Jones"", ""Amber Smith"", ""Susan Brown""]",MEDICAL,P-32536449C8,KCSO
"[""ISOLATION"", ""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",3a673f84-93e3-4fa3-b2e5-0aa1a7ddb648,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-06-23 21:40:53,JINC-9c8b97a5-175a-4fd7-82e2-8e963af06157,PROPERTY_DAMAGE,"[""b39093e0-73c8-45d9-b8c0-a7112fb4a88f""]","[""Scott Hancock"", ""Jane Brewer""]",POD A,P-50C46AB10A,KCSO
"[""DISCIPLINARY"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",e9772a90-8cb9-43e4-aeaf-9e27c520394a,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-08-03 09:42:53,JINC-d9d534cb-fada-42d0-acf1-88bc3d2b6eaf,CONTRABAND,[],"[""Stephanie Wilson"", ""Casey Adams""]",POD B,P-ED8AF80E90,PROSECUTOR
"[""REPORT_FILED"", ""DISCIPLINARY"", ""EVIDENCE_SEIZED""]",529d9583-0a7e-4fd1-9e09-af12501325d5,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-07-17 07:42:10,JINC-f8478dc1-f18c-4687-bc25-ff4786d31a9a,MEDICAL,"[""1addfd61-8726-4727-8ded-6b1b6def2efb""]","[""Sandra Vincent""]",DAYROOM,P-CC24ADBE03,
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",04e1e3b5-c28e-4dc4-ba0f-ea99ca623ee9,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-05-20 11:28:50,JINC-d7540bbd-84f8-46e0-aa5e-57cf09214c6c,MEDICAL,"[""0749272b-1146-4408-8e1b-0f55139e4e06""]","[""Franklin Ali""]",CELL 2,P-6C40676A25,KCSO
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED""]",c1b4d715-e2c9-4684-8b35-42e738ec0f0d,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-08-07 17:58:20,JINC-16144c6a-a083-4295-bc0d-53e32cc379ef,PROPERTY_DAMAGE,"[""723f3534-50ed-468f-bb52-cbeb0ecd27bc""]","[""Jeffrey Glenn""]",POD A,P-561729C785,
"[""DISCIPLINARY"", ""ISOLATION"", ""MEDICAL_EVAL""]",113bd3de-716f-4f78-90cc-53dae3dccb5b,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-05-15 19:43:40,JINC-d5fa17e3-071a-44d8-95ab-cec3f91653c1,PROPERTY_DAMAGE,"[""ef833089-277e-41b9-b0f2-1ce13c82f7f8"", ""f59a9aa1-8bf8-4bf2-a0ac-1e153a375a38"", ""5a73ecb6-249f-4fa2-9231-69ebf6754f90""]","[""Nicole Ruiz""]",POD A,P-51F4EB73BB,PROSECUTOR
"[""MEDICAL_EVAL""]",4a167f96-4f67-4081-99f1-ff04dd3a429a,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-04-25 11:07:51,JINC-68c688c2-eba5-4865-abf0-6930e7135e29,ASSAULT,"[""c4b3e88b-080b-4a62-b498-f685f659f864""]","[""Rhonda Brown"", ""Jillian Armstrong""]",POD A,P-CE7113891B,KCSO
"[""MEDICAL_EVAL"", ""ISOLATION""]",b45c824d-d212-4153-867c-a69a20431357,2025-09-15 10:43:47,Property damage to dayroom table recorded.,2025-09-08 13:04:59,JINC-7b508c14-ba9d-4f02-a2d0-9b46a0eec98c,PROPERTY_DAMAGE,[],"[""Tiffany Lewis"", ""Sarah Sanders""]",DAYROOM,P-5FCC115B6C,KCSO
"[""EVIDENCE_SEIZED"", ""REPORT_FILED"", ""MEDICAL_EVAL""]",0b312d06-ad91-4c9b-93ff-ff6ff3403af0,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-07-12 02:21:42,JINC-1300feaa-601e-4870-888a-525f4526dffd,CONTRABAND,"[""8202c1b0-adf3-4213-9df8-5a240a184044""]","[""Tracy Stokes"", ""Garrett Crawford""]",DAYROOM,P-4D1FA5D340,
"[""REPORT_FILED"", ""ISOLATION"", ""MEDICAL_EVAL""]",44f53839-712e-4e0d-b64d-e38519620c38,2025-09-15 10:43:47,Inmate referred for medical evaluation.,2025-09-05 12:31:48,JINC-a0c0be6e-49b1-48ac-aa7c-d03b6c2835fd,SELF_HARM,"[""2ce5959a-1178-45cd-9cb0-6b5c863b6aef"", ""9980aca9-580d-4c70-9308-463a5dc9bd46""]","[""Crystal Russell"", ""Rita Williams"", ""Linda Hall""]",CELL 2,P-C1AE73441F,PROSECUTOR
"[""ISOLATION"", ""REPORT_FILED"", ""DISCIPLINARY""]",a2eb101b-f5ea-4812-b588-698f5f0aae74,2025-09-15 10:43:47,Contraband discovered during cell search.,2025-09-02 08:24:07,JINC-b84dad36-8d23-4557-bd88-47e2daea851e,PROPERTY_DAMAGE,"[""dc6b40d5-c5de-4ab2-abf0-7460f4238ad5"", ""bef4c84e-fd99-4782-a408-cd2a08714068""]","[""Joshua Castro"", ""Sean Edwards""]",DAYROOM,P-C9E4F075A6,KCSO
"[""ISOLATION""]",08f01b67-6fc7-494f-a1a7-2e2bb132f868,2025-09-15 10:43:47,Property damage to dayroom table recorded.,2025-08-21 02:16:32,JINC-50350643-0fea-4ae2-a1ee-15b3fd001bbf,PROPERTY_DAMAGE,[],"[""Rhonda Long""]",DAYROOM,P-7E48F5ABAA,KCSO
"[""DISCIPLINARY""]",db2c5736-c1df-4043-910f-4cd1c2b81bf8,2025-09-15 10:43:47,Property damage to dayroom table recorded.,2025-07-26 06:28:35,JINC-0413e919-16da-4042-b216-a18620089fe7,CONTRABAND,[],"[""Kristin Moore""]",CELL 2,P-86C9789D68,PROSECUTOR
"[""ISOLATION"", ""REPORT_FILED"", ""DISCIPLINARY""]",33353aa9-0e62-486b-9dbe-4dde0184afdc,2025-09-15 10:43:47,Altercation between inmates; separated by staff.,2025-08-10 11:15:36,JINC-25ee9382-6ca0-43dd-a2b9-ebdcbb1d0148,SELF_HARM,"[""fe1d430f-ebde-4ada-a0f1-a57f9925ea12"", ""93e1ba70-fb0e-4d0b-a0ee-b95f50e7c966""]","[""Michelle Mclaughlin"", ""Terri Holmes""]",CELL 2,P-E07B55E8EE,KCSO
"[""EVIDENCE_SEIZED"", ""REPORT_FILED""]",66651259-e285-4225-95f8-48bd670b30a8,2025-09-15 10:43:47,Property damage to dayroom table recorded.,2025-07-22 01:52:36,JINC-4f320343-427f-4e5a-a027-9d7c2ca48ed0,ASSAULT,[],"[""Pamela Contreras"", ""Brandon Dixon"", ""Edwin Patton""]",MEDICAL,P-02C9C89421,
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",ca6bb6dc-da4d-46aa-9127-579211b6e11b,2025-09-15 10:43:48,Contraband discovered during cell search.,2025-07-05 22:38:30,JINC-7a1a3b9f-445e-4ca3-a98b-e3dcbfdaba06,CONTRABAND,[],"[""Anna Schmidt"", ""Traci Nguyen"", ""Jordan Medina""]",MEDICAL,P-8CF991A3CD,
"[""ISOLATION"", ""MEDICAL_EVAL"", ""DISCIPLINARY""]",96341c8d-e1ae-4fa5-8250-f3536780aa53,2025-09-15 10:43:48,Contraband discovered during cell search.,2025-06-23 21:17:01,JINC-01b62924-047b-4d9e-a62d-0be38af24625,MEDICAL,"[""a120f2c5-6e30-4fbb-83d8-e9380f52cac3"", ""43be8092-ef3a-4562-90e5-6596c236204b"", ""c5b51a0f-40c7-4515-a15d-aefdaa12bf79""]","[""Katherine Smith""]",MEDICAL,P-E0F4935817,KCSO
"[""DISCIPLINARY""]",83035700-fe51-4225-a3e0-7f1e3d5f6392,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-06-01 22:05:17,JINC-ed6bef4b-306c-4cac-8a3f-2e92e3a9ee89,ASSAULT,"[""97807069-1a0c-4427-8358-1cb004d039db"", ""1a1e4d13-e8a5-4c0b-9c37-0a071053839e""]","[""Brandon Lee"", ""Paige Graves"", ""Melissa Garcia""]",POD B,P-22FDFBD881,KCSO
"[""EVIDENCE_SEIZED""]",0b4887e4-1afb-4845-9ef9-2b99ab2b6140,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-04-08 21:14:56,JINC-b8f21240-d75f-4ab6-a041-7622d5899a73,PROPERTY_DAMAGE,"[""0624df28-a3e8-4a51-9505-040c54d0f527"", ""ab7c9893-52ab-4030-8dc2-bec7fba731e1"", ""fc4f00bc-1179-4371-ad97-8357b7d80104""]","[""Patrick Cameron"", ""Roy Bauer""]",CELL 2,P-FDE44EF231,PROSECUTOR
"[""ISOLATION"", ""MEDICAL_EVAL""]",9f8942f1-3d2c-4968-a723-e5daf13ac6f4,2025-09-15 10:43:48,Contraband discovered during cell search.,2025-06-08 09:14:28,JINC-39fac041-0f0d-4c29-a8b5-2812f6dc244a,MEDICAL,[],"[""Richard Shaw"", ""Timothy Taylor"", ""Linda Tanner""]",YARD,P-EEBCED6359,KCSO
"[""MEDICAL_EVAL"", ""REPORT_FILED""]",eea69018-e802-441f-ae3a-51e887fef97d,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-07-25 07:59:55,JINC-b4e72237-2f16-4a88-b69c-c8da3070cacd,CONTRABAND,"[""b6c4a2eb-94da-4e45-857c-b7cdaee81d61""]","[""Dawn Bryant"", ""Kristen Garcia"", ""Kimberly Guerrero""]",MEDICAL,P-627B9E9168,PROSECUTOR
"[""ISOLATION""]",00f785c5-a403-41ef-ad2f-c2027ac23199,2025-09-15 10:43:48,Inmate referred for medical evaluation.,2025-09-05 09:52:31,JINC-4c8871e6-0e16-4227-b513-7b5a474ad520,PROPERTY_DAMAGE,[],"[""Patrick Chavez"", ""Guy Lam""]",MEDICAL,P-B9C61435F6,KCSO
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",f74036cf-b7c6-414c-86c9-a1c383f76696,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-04-05 03:12:43,JINC-d86ab758-3591-4acf-a51e-183459b82a64,PROPERTY_DAMAGE,[],"[""Anthony Burns"", ""Lisa Vasquez""]",MEDICAL,P-3ABECF8010,PROSECUTOR
"[""ISOLATION""]",41b7ca14-64a6-4a31-b8d0-fa2ba936bbeb,2025-09-15 10:43:48,Altercation between inmates; separated by staff.,2025-07-13 03:59:30,JINC-5138e5aa-f281-464d-98f8-c87835ff1a85,PROPERTY_DAMAGE,"[""7e999141-d1e3-47fc-9aef-cc6ea9d48761""]","[""Frank Flores"", ""Elizabeth Pierce"", ""Michael Ochoa""]",YARD,P-45D5E20F50,KCSO
"[""REPORT_FILED""]",b1767119-d37e-487b-93d4-0fef8d73370c,2025-09-15 10:43:48,Contraband discovered during cell search.,2025-07-22 14:18:51,JINC-4a4a7e4c-2483-47cc-a5b2-a2a9322c52e2,CONTRABAND,[],"[""Patricia Smith""]",YARD,P-5164BC92A7,KCSO
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL"", ""ISOLATION""]",041dbed9-5ad2-4a48-8a68-8680fb8ae8b2,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-06-27 20:39:54,JINC-36d30d2d-e261-4245-b21f-25844c02ec18,ASSAULT,"[""c0081a64-35eb-499f-8ab1-ce66e51ecb59"", ""91348310-8120-4d69-a917-cd27e59065d3""]","[""Chris Ford""]",CELL 2,P-243573306F,KCSO
"[""REPORT_FILED""]",483b5876-fc71-4c70-9db1-48d77ce11571,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-04-15 20:16:19,JINC-fe6ac151-75a9-4ea1-bfb4-f2d7b9de113f,CONTRABAND,"[""b1a3c7f8-a86b-4da1-b3e4-dccdd7708bde"", ""1d5e79a1-e2bf-43bd-a087-7fb86eb192b4""]","[""Brent Bradley"", ""Craig Scott""]",POD B,P-BD56ACA3D3,
"[""ISOLATION""]",37731747-8edf-47c7-9094-f8aa359f6f5d,2025-09-15 10:43:48,Altercation between inmates; separated by staff.,2025-08-15 03:33:59,JINC-cd770629-048c-499e-9d87-1062ef5abc69,PROPERTY_DAMAGE,"[""0445b966-9bfb-484f-ae67-0fea9c53287d"", ""24a8b6e3-ff74-462a-9cae-5b34e921f10b""]","[""Michael Dillon""]",CELL 2,P-4A0304F7BD,PROSECUTOR
"[""ISOLATION"", ""DISCIPLINARY""]",1bc2df47-f9fb-4e06-b6c7-4c8ee9dd61c6,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-05-06 18:04:43,JINC-c673496e-0bc6-4453-ab6e-6020542c4672,PROPERTY_DAMAGE,[],"[""Courtney Mitchell"", ""Tristan Sanchez"", ""Ashley Barnes""]",CELL 2,P-A979FC54CB,KCSO
"[""REPORT_FILED""]",0d384fdc-3f46-4fa2-909c-2fb92abf968f,2025-09-15 10:43:48,Contraband discovered during cell search.,2025-03-27 22:36:15,JINC-c5fbaba5-8446-4d38-8cfc-da480775dd34,ASSAULT,"[""b73441dd-2b0c-4c15-9a6d-2b14209495a5"", ""a0934a1f-fbd1-48d6-b20f-dc5190873d17"", ""39658905-0511-45f3-8ebe-342913aac815""]","[""Jesse Wood"", ""Jeffrey Smith"", ""Harold Carter""]",DAYROOM,P-5718928561,
"[""REPORT_FILED""]",ddb4d34e-f223-47d8-ad34-eb71fe627b8e,2025-09-15 10:43:48,Inmate referred for medical evaluation.,2025-03-25 09:22:02,JINC-85aeb737-9197-47f2-9e79-ce9bff39234d,CONTRABAND,"[""81a902f2-5df2-4caf-b5b4-b0a1bd8553a8"", ""8202a740-c80f-484a-bfea-c512ce99b859"", ""13f0c2f4-6ab2-4bad-9b32-c58e6da54019""]","[""Ethan Wilson"", ""Michael Hester"", ""Paul Howard""]",CELL 2,P-390D7CAFF3,
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",1e2f42fb-bcda-465e-8d88-17c501032259,2025-09-15 10:43:48,Property damage to dayroom table recorded.,2025-07-05 05:10:47,JINC-a005cf59-f519-4ff8-8ed8-26b22b031858,PROPERTY_DAMAGE,"[""80181147-7305-4bee-b018-b3c7b1175ef2"", ""0bec0dbf-76f9-4fab-b58b-977073afc3c6""]","[""Nicole Allen"", ""Mark Franklin""]",DAYROOM,P-5AE2038479,
"[""EVIDENCE_SEIZED""]",eea97188-a5f5-415f-9d55-d12f4ae50023,2025-09-15 10:43:48,Altercation between inmates; separated by staff.,2025-04-01 06:42:53,JINC-df98c2a9-c896-43c8-afd4-c315c3a5dcbb,CONTRABAND,"[""92a7cd14-b933-4d32-a811-1b3c111ea1f0""]","[""Sharon Diaz"", ""Brandon Rodriguez"", ""Jill Campbell""]",YARD,P-1402BC83E4,KCSO
